id,createdBy,quote,createdDate,game
0,SageWize,"How does a penguin build its house? Igloos it together - kstvl","2021-02-14 00:00:00.000000","Star Citizen"
1,Super_Waffle_Bot,"Okay, do NOT suck that in yet. The penis. - SuperPenguinTV,","2022-01-19 00:00:00.000000","Star Citizen"
10,SageWiZe,"I do it a while when I'm dicking around! - SuperPenguinTV","2022-09-02 01:16:59.904000","Star Citizen"
100,Super_Waffle_Bot,"I am rubbing them! Oh look at that I am rubbing both of them! Naked Pastie Pub Crawl - Ghostcomm ","2021-12-18 00:00:00.000000","Star Citizen"
1000,SageWiZe,"Where are the random quotes that used to pop up occasionally? - @ArtAndSoul7","2022-08-30 19:00:36.534000","Star Citizen"
1001,SageWiZe,"I would get a swing! - missgamerfan","2022-01-22 04:22:27.276000","Star Citizen"
1002,SageWiZe,"No! I should have fucking landed! I should have fucking landed! - SuperPenguinTV","2022-08-30 20:22:15.257000","Star Citizen"
1003,Super_Waffle_Bot,"Do you see where I got to fit this thing in! There is noway this is fitting in there! I need the big white one above that! - SuperPenguinTV ","2022-01-14 00:00:00.000000","Star Citizen"
1004,SageWiZe,"I wanted a wiggly emote so why not a RGB one! - @Kstvl","2022-08-30 20:31:30.095000","Star Citizen"
1005,SageWiZe,"I gotta say I don't really like the taste of chapstick! - @randprint","2022-08-30 21:29:59.944000","Star Citizen"
1006,SageWiZe,"How many of you have become Master Baitors Tonight? - SuperPenguinTV","2022-08-30 23:16:41.621000","Star Citizen"
1007,SageWiZe,"Everyone's getting hosed now! - ACorpse","2022-08-31 23:31:44.840000","Star Citizen"
1008,Super_Waffle_Bot,"Get your Balls out of my Face I am trying to land. - Thornberg84","2021-12-18 00:00:00.000000","Star Citizen"
1009,SageWiZe,"Yeah now I’m all tingly feeling everywhere. Thx Penguin. - ArtAndSoul7","2022-09-01 18:14:10.977000","Star Citizen"
101,Super_Waffle_Bot,"I started doing shots before the dinner came! - SuperPenguinTV","2021-12-30 00:00:00.000000","Star Citizen"
1010,SageWiZe,"You make me tingly Penguin! - ArtAndSoul7","2022-09-01 18:15:33.490000","Star Citizen"
1011,SageWiZe,"It’s all the spider and beach sex talk has thrown me off tonight. - ArtAndSoul7","2022-09-01 19:43:42.616000","Star Citizen"
1012,SageWiZe,"Pull it off and pull it back on! - SuperPenguinTV","2022-01-22 04:43:36.870000","Star Citizen"
1013,SageWiZe,"Only when buried up to my head LUL - pesteh","2022-09-01 19:44:34.402000","Star Citizen"
1014,SageWiZe,"You end up with these cheese popcorn balls! - SuperPenguinTV","2022-09-01 19:54:25.824000","Star Citizen"
1015,SageWiZe,"Oh i'm in bed already ;) - Creex_XVII","2022-09-01 19:55:58.708000","Star Citizen"
1016,Super_Waffle_Bot,"Don't Stroke my cock! Do you Like the Lights? - SuperPenguinTV ","2022-01-14 00:00:00.000000","Star Citizen"
1017,SageWiZe,"Always get shit stuck in my teeth after eating popcorn. - Mekt0r","2022-09-01 19:56:37.925000","Star Citizen"
1018,SageWiZe,"kids spam are nuts More like kids are result of spamming your nuts LUL - Chrisdyan","2022-09-01 20:04:40.825000","Star Citizen"
1019,SageWiZe,"I will never eat rubbery food. - ArtAndSoul7","2022-09-01 20:11:25.175000","Star Citizen"
102,ArtAndSoul7,"My fucks to give is zero! -Penguin","2022-01-19 18:59:28.026000","Star Citizen"
1020,Super_Waffle_Bot,"Oh Boy! I have to go further in! - Ghostcomm ","2022-01-15 00:00:00.000000","Star Citizen"
1021,SageWiZe,"You are going to eat meat! let's put it that way ArtAndSoul7! - SuperPenguinTV","2022-09-01 20:19:35.241000","Star Citizen"
1022,pesteh,"I eat all of the meat - SuperPenguinTV","2022-09-01 20:21:38.912000","Star Citizen"
